Modified Julian Date,UNIX time,Julian/Gregorian,Common year,Common month,Common day,Imperial era,Era name,Japanese year,Northern Court era name,Northern Court year,Is leap month,Japanese month,Japanese day
-919594,-82959638400,J,-659,2,18,1,神武天皇,1,,,0,1,1
-919583,-82958688000,J,-659,3,1,1,神武天皇,1,,,0,1,12
-919564,-82957046400,J,-659,3,20,1,神武天皇,1,,,0,2,1
-919552,-82956009600,J,-659,4,1,1,神武天皇,1,,,0,2,13
-919535,-82954540800,J,-659,4,18,1,神武天皇,1,,,0,3,1
-919522,-82953417600,J,-659,5,1,1,神武天皇,1,,,0,3,14
-919505,-82951948800,J,-659,5,18,1,神武天皇,1,,,0,4,1
-919491,-82950739200,J,-659,6,1,1,神武天皇,1,,,0,4,15
-919476,-82949443200,J,-659,6,16,1,神武天皇,1,,,0,5,1
-919461,-82948147200,J,-659,7,1,1,神武天皇,1,,,0,5,16
-919446,-82946851200,J,-659,7,16,1,神武天皇,1,,,0,6,1
-919430,-82945468800,J,-659,8,1,1,神武天皇,1,,,0,6,17
-919416,-82944259200,J,-659,8,15,1,神武天皇,1,,,0,7,1
-919399,-82942790400,J,-659,9,1,1,神武天皇,1,,,0,7,18
-919387,-82941753600,J,-659,9,13,1,神武天皇,1,,,0,8,1
-919369,-82940198400,J,-659,10,1,1,神武天皇,1,,,0,8,19
-919357,-82939161600,J,-659,10,13,1,神武天皇,1,,,0,9,1
-919338,-82937520000,J,-659,11,1,1,神武天皇,1,,,0,9,20
-919328,-82936656000,J,-659,11,11,1,神武天皇,1,,,0,10,1
-919308,-82934928000,J,-659,12,1,1,神武天皇,1,,,0,10,21
-919298,-82934064000,J,-659,12,11,1,神武天皇,1,,,0,11,1
-919277,-82932249600,J,-658,1,1,1,神武天皇,1,,,0,11,22
-919269,-82931558400,J,-658,1,9,1,神武天皇,1,,,0,12,1
-919246,-82929571200,J,-658,2,1,1,神武天皇,1,,,0,12,24
-919239,-82928966400,J,-658,2,8,2,神武天皇,2,,,0,1,1
-919218,-82927152000,J,-658,3,1,2,神武天皇,2,,,0,1,22
-919210,-82926460800,J,-658,3,9,2,神武天皇,2,,,0,2,1
-919187,-82924473600,J,-658,4,1,2,神武天皇,2,,,0,2,24
-919180,-82923868800,J,-658,4,8,2,神武天皇,2,,,0,3,1
-919157,-82921881600,J,-658,5,1,2,神武天皇,2,,,0,3,24
-919151,-82921363200,J,-658,5,7,2,神武天皇,2,,,0,4,1
-919126,-82919203200,J,-658,6,1,2,神武天皇,2,,,0,4,26
-919121,-82918771200,J,-658,6,6,2,神武天皇,2,,,0,5,1
-919096,-82916611200,J,-658,7,1,2,神武天皇,2,,,0,5,26
-919092,-82916265600,J,-658,7,5,2,神武天皇,2,,,0,6,1
-919065,-82913932800,J,-658,8,1,2,神武天皇,2,,,0,6,28
-919062,-82913673600,J,-658,8,4,2,神武天皇,2,,,0,7,1
-919034,-82911254400,J,-658,9,1,2,神武天皇,2,,,0,7,29
-919033,-82911168000,J,-658,9,2,2,神武天皇,2,,,0,8,1
-919004,-82908662400,J,-658,10,1,2,神武天皇,2,,,0,8,30
-919003,-82908576000,J,-658,10,2,2,神武天皇,2,,,0,9,1
